Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTN4	gene	ACTN4	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulosclerosis, focal segmental, 1, MIM#603278				26740551;22351778;10700177;26301083		False	3	100;0;0	1.4452	True	Other	ENSG00000130402	ENSG00000130402	HGNC:166													
ACVR1	gene	ACVR1	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Fibrodysplasia ossificans progressiva, MIM# 135100;Congenital heart disease				16642017;29089047		False	3	100;0;0	1.4452	True		ENSG00000115170	ENSG00000115170	HGNC:171													
ACVRL1	gene	ACVRL1	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Telangiectasia, hereditary hemorrhagic, type 2 MIM#600376				PMID: 16542389		False	3	100;0;0	1.4452	True		ENSG00000139567	ENSG00000139567	HGNC:175													
ACY1	gene	ACY1	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Aminoacylase 1 deficiency, MIM# 609924				16274666;16465618;17562838;24117009		False	3	100;0;0	1.4452	True		ENSG00000243989	ENSG00000243989	HGNC:177													
ADA	gene	ADA	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Severe combined immunodeficiency due to ADA deficiency, MIM# 102700;MONDO:0007064				3007108;3475710;8178821;8227344;2783588;3684597;1680289		False	3	100;0;0	1.4452	True		ENSG00000196839	ENSG00000196839	HGNC:186													
ADA2	gene	ADA2	Expert Review Green;Literature;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Vasculitis, autoinflammation, immunodeficiency, and haematologic defects syndrome, MIM# 615688				24552284;24552285;33791889;40864493		False	3	100;0;0	1.4452	True		ENSG00000093072	ENSG00000093072	HGNC:1839													
ADAM10	gene	ADAM10	Expert Review Green;Literature	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"reticulate acropigmentation of Kitamura	MONDO:0014234"				23666529;30488468		False	3	100;0;0	1.4452	True		ENSG00000137845	ENSG00000137845	HGNC:188													
ADAM17	gene	ADAM17	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Inflammatory neonatal-onset skin and bowel disease, MIM#614328				22010916;25804906;21041656;22236242		False	3	0;50;50	1.4452	True		ENSG00000151694	ENSG00000151694	HGNC:195													
ADAM22	gene	ADAM22	Expert list;Expert Review Green	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Developmental and epileptic encephalopathy 61 (MIM#617933)				27066583;30237576;35373813		False	3	50;50;0	1.4452	True		ENSG00000008277	ENSG00000008277	HGNC:201													
ADAM9	gene	ADAM9	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Cone-rod dystrophy 9 MIM#612775				PMID: 25091951;19409519		False	3	100;0;0	1.4452	True		ENSG00000168615	ENSG00000168615	HGNC:216													
